player_id,age,role,matches,runs,batting_average,strike_rate,fifties,hundreds,wickets,economy,catches,fitness_score,raw_score,talent_score,future_potential,auction_value_cr,batting_impact,bowling_impact,experience_score,consistency_score
34,31,Bowler,78,326,25.75,75.4,0,1,156,4.8,34,71,63.717,24.26,Low,6.79,1941.5500000000002,32.5,2418,2
35,27,Bowler,67,48,23.2,89.92,2,0,347,7.09,27,90,79.324,53.84,Medium,14.97,2086.144,48.94217207334274,1809,2
36,34,Wicketkeeper,183,6392,34.93,101.93,21,5,9,9.85,83,61,63.1225,23.13,Low,4.09,3560.4149,0.9137055837563453,6222,31
37,21,Wicketkeeper,98,4569,38.09,168.9,12,12,9,6.76,55,93,81.85000000000001,58.63,Medium,9.22,6433.401000000001,1.3313609467455623,2058,36
38,18,Bowler,103,883,11.4,103.21,2,1,269,7.39,24,96,73.8075,43.39,Medium,10.18,1176.594,36.40054127198918,1854,4
39,27,Wicketkeeper,93,5296,45.92,138.81,17,13,10,9.76,136,93,83.3195,61.41,High,9.2,6374.1552,1.0245901639344261,2511,43
40,23,All-Rounder,113,3744,45.84,118.23,11,6,198,6.43,51,94,90.5545,75.13,High,15.37,5419.663200000001,30.79315707620529,2599,23
41,32,Wicketkeeper,182,3750,40.34,155.56,15,2,4,8.06,131,79,79.98599999999999,55.1,Medium,9.08,6275.290400000001,0.4962779156327543,5824,19
42,28,Batter,219,4924,55.18,135.72,22,5,0,6.18,70,89,83.65,62.04,High,10.29,7489.0296,0.0,6132,32
43,20,Wicketkeeper,116,6715,30.83,148.74,36,12,3,6.59,138,80,85.85,66.21,High,9.49,4585.6542,0.4552352048558422,2320,60
44,21,Wicketkeeper,66,3440,49.12,148.71,34,1,8,7.0,65,94,80.5625,56.19,Medium,9.21,7304.6352,1.1428571428571428,1386,36
45,22,Wicketkeeper,180,6351,54.64,141.68,33,13,8,7.78,70,95,86.176,66.83,High,10.17,7741.395200000001,1.0282776349614395,3960,59
46,32,All-Rounder,202,2512,46.0,116.64,29,8,174,6.51,45,74,80.22,55.54,Medium,12.08,5365.44,26.72811059907834,6464,45
47,20,All-Rounder,70,2612,33.4,153.58,7,2,88,4.93,98,84,86.26100000000001,66.99,High,11.24,5129.572,17.849898580121703,1400,11
48,24,Batter,116,6339,44.93,152.61,13,7,26,7.68,12,98,81.4685,57.91,Medium,10.24,6856.7673,3.385416666666667,2784,27
49,30,Wicketkeeper,11,4881,33.96,127.3,31,7,7,6.88,105,85,77.595,50.56,Medium,8.08,4323.108,1.0174418604651163,330,45
50,18,Wicketkeeper,96,5312,46.73,158.84,13,0,6,8.37,134,80,85.60900000000001,65.75,High,9.46,7422.593199999999,0.7168458781362008,1728,13
51,20,Wicketkeeper,44,5782,30.45,118.21,25,6,7,7.31,147,92,82.0705,59.05,Medium,8.91,3599.4945,0.957592339261286,880,37
52,26,Wicketkeeper,74,2670,39.11,152.43,8,11,3,8.6,149,90,80.3775,55.84,Medium,8.52,5961.5373,0.3488372093023256,1924,30
53,19,Batter,73,4633,60.18,163.49,25,5,15,8.68,37,94,82.88350000000001,60.59,High,10.24,9838.8282,1.728110599078341,1387,35
54,26,All-Rounder,52,3981,40.18,144.88,8,2,129,4.43,13,79,84.258,63.19,High,12.48,5821.2784,29.119638826185103,1352,12
55,30,Wicketkeeper,193,3624,27.28,148.34,20,3,4,9.4,126,95,75.553,46.69,Medium,7.56,4046.7152,0.425531914893617,5790,26
56,21,Batter,98,7364,47.85,145.94,42,11,0,9.4,72,83,80.124,55.36,Medium,9.5,6983.229,0.0,2058,64
57,31,All-Rounder,172,4894,36.49,109.18,10,8,216,5.08,78,84,93.032,79.82,High,15.3,3983.9782000000005,42.51968503937008,5332,26
58,33,Wicketkeeper,121,6853,33.05,159.62,10,8,7,6.98,109,78,84.56400000000001,63.77,High,9.29,5275.441,1.002865329512894,3993,26
59,30,All-Rounder,17,3524,46.27,110.91,11,5,116,5.36,86,92,87.7255,69.77,High,13.17,5131.8057,21.641791044776117,510,21
60,26,Batter,142,4565,37.57,170.41,41,18,24,6.96,70,90,83.4625,61.69,High,10.25,6402.3036999999995,3.4482758620689657,3692,77
61,33,Wicketkeeper,212,2141,27.79,115.51,20,9,10,8.33,110,77,64.3355,25.43,Low,4.4,3210.0229,1.2004801920768307,6996,38
62,34,All-Rounder,118,4555,38.76,121.11,19,4,128,5.01,25,83,82.3745,59.62,Medium,11.56,4694.223599999999,25.548902195608783,4012,27
63,24,All-Rounder,40,4542,38.4,145.73,10,3,105,6.95,45,98,85.9635,66.43,High,11.44,5596.031999999999,15.107913669064748,960,16
64,34,All-Rounder,35,4910,29.85,113.65,10,4,53,6.83,26,68,66.0025,28.59,Low,5.39,3392.4525000000003,7.759882869692533,1190,18
65,19,Batter,151,5393,55.92,128.84,41,4,27,6.05,46,95,85.298,65.16,High,11.56,7204.732800000001,4.462809917355372,2869,49
66,33,Wicketkeeper,97,3510,53.96,117.67,35,3,1,7.6,59,78,71.1385,38.33,Low,8.0,6349.4732,0.13157894736842105,3201,41
67,19,Bowler,48,1152,28.98,74.26,1,0,242,7.06,43,99,76.42699999999999,48.35,Medium,12.05,2152.0548000000003,34.27762039660057,912,1
68,25,Wicketkeeper,125,5626,33.92,141.2,32,9,9,8.48,128,93,82.41799999999999,59.71,Medium,9.54,4789.504,1.0613207547169812,3125,50
69,21,Bowler,170,432,15.29,74.06,1,0,241,4.3,5,93,70.99,38.05,Low,10.33,1132.3774,56.04651162790698,3570,1
70,32,Wicketkeeper,84,2267,31.94,149.49,34,2,10,6.93,83,85,73.0295,41.91,Medium,6.5,4774.7106,1.443001443001443,2688,38
71,24,Wicketkeeper,39,6461,31.74,110.43,22,4,1,6.24,89,99,80.2585,55.61,Medium,8.46,3505.0482,0.16025641025641024,936,30
72,27,Wicketkeeper,41,5839,45.66,148.98,22,15,7,6.32,55,83,81.893,58.71,Medium,10.24,6802.426799999999,1.1075949367088607,1107,52
73,28,All-Rounder,16,1874,30.72,140.46,23,9,55,8.0,96,78,71.533,39.08,Low,7.31,4314.9312,6.875,448,41
74,19,Bowler,130,1062,23.03,115.8,1,1,262,7.26,10,95,77.593,50.56,Medium,13.24,2666.8740000000003,36.088154269972456,2470,3
75,29,Wicketkeeper,95,4630,45.1,160.04,26,13,7,7.15,101,94,86.65599999999999,67.74,High,9.21,7217.804,0.979020979020979,2755,52
76,35,Batter,126,3721,44.44,142.63,35,17,26,9.95,79,74,70.74849999999999,37.59,Low,7.66,6338.477199999999,2.613065326633166,4410,69
77,31,Batter,58,7247,45.85,172.95,50,15,24,6.21,44,77,87.34150000000001,69.04,High,11.1,7929.7575,3.864734299516908,1798,80
78,22,All-Rounder,122,4360,37.12,101.73,25,9,111,6.84,49,97,79.46549999999999,54.11,Medium,10.42,3776.2176,16.228070175438596,2684,43
79,18,Wicketkeeper,33,3840,54.77,163.91,34,3,10,9.33,113,89,84.3875,63.44,High,10.6,8977.3507,1.0718113612004287,594,40
80,34,All-Rounder,116,4919,37.06,128.33,19,8,87,5.53,86,76,83.7055,62.15,High,10.06,4755.9098,15.732368896925859,3944,35
81,22,Batter,80,6399,45.2,175.14,27,1,9,8.9,72,84,83.749,62.23,High,9.8,7916.3279999999995,1.0112359550561798,1760,29
82,32,Wicketkeeper,98,4723,41.56,138.04,34,10,3,9.92,80,78,70.52000000000001,37.16,Low,6.78,5736.9424,0.3024193548387097,3136,54
83,30,Bowler,229,841,10.87,107.24,5,1,198,7.95,46,74,64.06899999999999,24.93,Low,8.23,1165.6988,24.90566037735849,6870,7
84,33,Batter,42,7114,63.96,143.24,16,15,3,8.1,68,60,80.742,56.53,Medium,9.78,9161.6304,0.3703703703703704,1386,46
85,22,Wicketkeeper,232,3264,27.24,154.71,21,10,9,8.77,133,82,74.8865,45.43,Medium,6.59,4214.3004,1.0262257696693273,5104,41
86,28,Wicketkeeper,91,5997,51.17,102.51,9,7,10,8.74,86,77,73.89150000000001,43.55,Medium,7.73,5245.4367,1.1441647597254003,2548,23
87,20,Wicketkeeper,35,2823,38.31,148.58,6,1,5,9.18,87,91,72.916,41.7,Medium,7.48,5692.099800000001,0.5446623093681917,700,8
88,29,Wicketkeeper,47,4000,40.93,139.61,16,5,2,6.32,98,89,80.7905,56.62,Medium,9.05,5714.237300000001,0.3164556962025316,1363,26
89,25,Wicketkeeper,243,6777,29.29,132.28,21,14,4,8.67,109,79,75.81299999999999,47.19,Medium,6.94,3874.4811999999997,0.461361014994233,6075,49
90,35,Bowler,28,904,28.9,119.38,2,1,276,5.0,24,66,79.365,53.92,Medium,13.69,3450.082,55.2,980,4
91,30,Wicketkeeper,37,3943,36.44,125.13,23,9,0,9.91,134,82,71.66749999999999,39.33,Low,6.59,4559.7372,0.0,1110,41
92,26,Batter,154,3401,62.32,172.16,28,8,19,9.21,38,90,80.722,56.49,Medium,10.76,10729.011199999999,2.0629750271444083,4004,44
93,24,All-Rounder,183,4594,43.02,139.55,9,10,74,7.61,92,81,83.1765,61.14,High,10.62,6003.441000000001,9.724047306176084,4392,29
94,27,Wicketkeeper,18,6747,35.95,109.2,23,10,6,6.7,66,95,78.089,51.5,Medium,7.93,3925.7400000000002,0.8955223880597015,486,43
95,35,All-Rounder,145,3555,47.84,149.83,13,7,125,6.99,53,85,86.5065,67.46,High,12.79,7167.8672000000015,17.8826895565093,5075,27
96,21,Wicketkeeper,29,3153,47.62,115.79,30,11,1,9.16,51,88,66.8205,30.14,Low,5.29,5513.9198,0.1091703056768559,609,52
97,35,Batter,126,6019,55.18,167.06,47,13,26,8.55,57,63,80.08099999999999,55.28,Medium,10.06,9218.3708,3.0409356725146197,4410,73
98,25,Wicketkeeper,16,6599,34.84,142.71,9,14,4,8.6,64,74,73.0765,42.0,Medium,6.99,4972.0164,0.46511627906976744,400,37
99,19,Batter,87,7035,38.48,136.44,44,5,12,7.81,79,93,82.57,59.99,Medium,9.37,5250.2112,1.5364916773367479,1653,54
100,22,Wicketkeeper,177,2811,50.01,143.1,22,1,5,6.87,106,87,81.1,57.21,Medium,9.35,7156.431,0.727802037845706,3894,24
101,29,Batter,185,6009,51.33,188.45,32,2,12,7.1,25,84,85.9445,66.39,High,10.07,9673.1385,1.6901408450704227,5365,36
102,20,Bowler,174,1309,21.94,71.07,2,0,132,7.15,18,82,58.42049999999999,14.22,Low,5.23,1559.2758,18.46153846153846,3480,2
103,35,Bowler,160,442,26.26,81.65,1,0,170,7.43,14,64,57.1495,11.81,Low,5.96,2144.1290000000004,22.880215343203233,5600,1
104,35,All-Rounder,214,2214,27.75,151.99,9,0,141,7.16,40,78,76.01150000000001,47.56,Medium,9.51,4217.7225,19.692737430167597,7490,9
105,28,Batter,54,5173,36.57,171.92,43,4,23,6.25,67,94,86.645,67.72,High,10.33,6287.1143999999995,3.68,1512,51
106,29,Batter,125,7127,41.65,163.06,43,10,14,8.57,13,71,74.238,44.2,Medium,7.87,6791.449,1.633605600933489,3625,63
107,33,Wicketkeeper,119,2884,39.71,163.68,9,2,5,8.43,58,64,67.57300000000001,31.57,Low,6.82,6499.732800000001,0.5931198102016607,3927,13
108,26,All-Rounder,107,3946,38.26,127.22,24,6,75,7.17,24,90,75.013,45.67,Medium,8.98,4867.437199999999,10.460251046025105,2782,36
109,35,Bowler,120,924,27.76,90.69,3,1,206,6.92,25,73,67.1695,30.8,Low,9.33,2517.5544,29.76878612716763,4200,5
110,28,All-Rounder,105,2125,42.17,128.46,7,1,73,5.73,57,95,80.0,55.12,Medium,10.15,5417.158200000001,12.739965095986037,2940,9
111,22,Batter,160,7600,51.85,166.9,36,12,27,8.66,64,81,87.28000000000002,68.92,High,10.44,8653.765000000001,3.1177829099307157,3520,60
112,27,All-Rounder,100,1924,39.45,112.76,26,7,107,7.39,54,87,73.527,42.85,Medium,9.24,4448.3820000000005,14.479025710419487,2700,40
113,29,Batter,205,5282,52.22,176.51,45,20,19,8.7,13,89,80.3765,55.84,Medium,9.72,9217.3522,2.1839080459770117,5945,85
114,26,Batter,56,5238,56.08,141.63,31,12,0,6.73,28,88,79.8845,54.9,Medium,10.62,7942.6104,0.0,1456,55
115,30,Batter,46,3251,37.75,157.13,34,14,14,7.36,57,79,73.2465,42.32,Medium,7.15,5931.6575,1.9021739130434783,1380,62
116,28,Batter,236,3430,39.67,172.81,13,3,8,7.77,64,85,77.4325,50.26,Medium,8.33,6855.372700000001,1.0296010296010296,6608,19
117,32,Wicketkeeper,79,3765,47.65,107.97,32,3,4,8.71,125,75,72.1705,40.28,Medium,7.28,5144.7705,0.45924225028702637,2528,38
118,34,All-Rounder,21,2403,34.88,135.96,5,3,127,7.78,27,84,73.964,43.68,Medium,8.94,4742.2848,16.323907455012854,714,11
119,26,All-Rounder,93,1991,25.19,144.82,10,2,147,6.13,39,86,78.162,51.64,Medium,10.97,3648.0158,23.98042414355628,2418,14
120,35,All-Rounder,28,3126,46.54,102.54,5,7,69,7.45,83,73,72.765,41.41,Medium,9.05,4772.2116000000005,9.261744966442953,980,19
121,30,Wicketkeeper,84,2943,37.15,167.63,15,14,5,6.35,63,77,75.4255,46.45,Medium,7.93,6227.4545,0.7874015748031497,2520,43
122,31,Wicketkeeper,144,2644,36.87,121.72,26,7,5,9.12,59,76,61.667,20.38,Low,3.93,4487.8164,0.5482456140350878,4464,40
123,21,Bowler,241,715,17.02,117.91,5,0,160,4.41,21,86,71.80250000000001,39.59,Low,9.5,2006.8282,36.281179138321995,5061,5
124,23,Bowler,204,1342,11.51,117.56,5,1,218,7.02,42,94,74.87100000000001,45.4,Medium,9.68,1353.1156,31.054131054131055,4692,7
125,28,All-Rounder,48,3301,26.71,126.53,14,4,201,4.22,74,72,86.6345,67.7,High,13.77,3379.6163,47.63033175355451,1344,22
126,27,Wicketkeeper,125,2308,26.71,158.22,9,2,9,8.38,99,84,71.22200000000001,38.49,Low,7.23,4226.0562,1.0739856801909307,3375,13
127,35,Batter,125,7683,54.56,142.51,40,17,4,9.83,67,63,76.22049999999999,47.96,Medium,8.07,7775.3456,0.4069175991861648,4375,74
128,28,Batter,139,4413,36.17,169.53,38,17,16,8.44,56,81,75.3565,46.32,Medium,7.4,6131.900100000001,1.8957345971563981,3892,72
129,27,Wicketkeeper,114,4771,45.37,103.67,26,2,5,6.38,136,82,80.4435,55.96,Medium,9.13,4703.5079,0.7836990595611285,3078,30
130,27,All-Rounder,195,4988,41.41,154.38,9,5,70,6.33,28,81,81.54599999999999,58.05,Medium,10.18,6392.875799999999,11.058451816745656,5265,19
131,27,Wicketkeeper,43,6874,46.27,105.93,40,12,10,9.17,66,91,75.3285,46.27,Medium,7.29,4901.3811000000005,1.0905125408942202,1161,64
132,34,Batter,175,6468,50.25,121.28,29,6,30,6.86,72,66,78.583,52.44,Medium,9.44,6094.32,4.373177842565598,5950,41
133,25,Bowler,49,158,15.92,109.41,4,0,269,5.35,44,74,75.2235,46.07,Medium,11.17,1741.8072,50.280373831775705,1225,4
134,30,Bowler,51,370,26.63,108.55,1,1,111,5.64,48,93,70.6615,37.42,Low,8.28,2890.6865,19.680851063829788,1530,3
135,25,Wicketkeeper,166,4334,47.57,154.87,19,7,4,9.86,150,85,83.0195,60.85,High,9.3,7367.1659,0.40567951318458423,4150,33
136,24,All-Rounder,183,3836,49.61,127.7,14,6,178,6.11,30,86,88.23,70.72,High,15.3,6335.197,29.132569558101473,4392,26
137,22,All-Rounder,23,4126,37.01,122.27,8,8,81,5.14,30,88,78.8955,53.03,Medium,9.44,4525.2127,15.75875486381323,506,24
138,32,Bowler,222,895,11.83,115.53,3,1,338,4.11,8,72,80.2885,55.67,Medium,13.87,1366.7199,82.23844282238443,7104,5
139,34,All-Rounder,70,3081,49.86,122.49,5,5,75,7.36,93,70,77.5735,50.52,Medium,10.46,6107.3514,10.190217391304348,2380,15
140,22,Bowler,19,587,28.35,93.62,1,1,214,6.46,10,80,68.922,34.13,Low,9.18,2654.1270000000004,33.126934984520126,418,3
141,26,Bowler,223,306,20.98,106.36,4,1,128,7.1,20,79,60.65,18.45,Low,5.94,2231.4328,18.028169014084508,5798,6
142,21,Batter,71,6439,54.17,163.6,14,4,26,9.62,78,80,84.309,63.29,High,11.48,8862.212,2.702702702702703,1491,22
143,34,Bowler,193,294,15.83,70.08,2,0,246,5.67,47,81,69.13900000000001,34.54,Low,9.05,1109.3663999999999,43.386243386243386,6562,2
144,20,All-Rounder,27,3654,38.6,147.18,21,8,55,5.56,70,81,81.495,57.96,Medium,10.08,5681.148,9.892086330935253,540,37
145,30,All-Rounder,74,4561,25.41,147.31,16,3,237,6.63,23,94,90.3415,74.72,High,15.11,3743.1471,35.74660633484163,2220,22
146,28,Bowler,21,721,20.92,110.68,1,1,278,5.91,16,95,80.09,55.29,Medium,13.63,2315.4256000000005,47.03891708967851,588,3
147,22,Batter,193,6749,36.11,134.11,22,2,10,9.73,75,92,76.2875,48.09,Medium,7.16,4842.712100000001,1.027749229188078,4246,26
148,35,Wicketkeeper,74,2299,47.6,113.38,27,1,10,7.33,65,85,69.775,35.74,Low,6.21,5396.888,1.364256480218281,2590,29
149,29,Wicketkeeper,237,5276,47.3,162.62,29,10,2,7.98,113,81,84.88499999999999,64.38,High,10.39,7691.9259999999995,0.2506265664160401,6873,49
150,34,All-Rounder,215,1838,43.18,104.74,24,2,189,5.18,23,62,74.901,45.46,Medium,11.54,4522.6732,36.48648648648649,7310,28
151,28,All-Rounder,88,3326,40.07,125.57,27,7,139,5.79,55,89,84.79849999999999,64.22,High,12.62,5031.5899,24.006908462867013,2464,41
152,31,All-Rounder,173,4741,48.7,104.5,25,6,143,6.05,96,65,84.957,64.52,High,13.21,5089.150000000001,23.636363636363637,5363,37
153,18,Bowler,227,1244,23.56,91.91,1,0,160,7.11,28,91,67.4725,31.38,Low,7.8,2165.3995999999997,22.50351617440225,4086,1
154,30,Batter,164,4256,55.37,186.42,33,15,24,6.31,27,86,86.586,67.61,High,11.48,10322.0754,3.8034865293185423,4920,63
155,29,Wicketkeeper,90,4283,32.49,107.94,16,15,8,7.55,121,73,70.394,36.92,Low,6.36,3506.9706,1.0596026490066226,2610,46
156,26,All-Rounder,190,3327,30.36,136.71,27,7,101,4.49,19,84,78.26849999999999,51.84,Medium,9.4,4150.5156,22.494432071269486,4940,41
157,23,Wicketkeeper,32,4618,45.04,149.67,40,9,4,9.41,141,100,85.79849999999999,66.11,High,11.2,6741.136799999999,0.4250797024442083,736,58
158,23,All-Rounder,140,2418,28.03,112.06,9,3,176,4.11,80,98,88.414,71.07,High,13.69,3141.0418,42.82238442822384,3220,15
159,29,Wicketkeeper,215,6519,28.89,161.9,9,9,6,10.0,142,85,81.91999999999999,58.76,Medium,8.02,4677.291,0.6,6235,27
160,34,Wicketkeeper,206,5354,49.7,105.16,25,2,7,7.86,116,71,75.582,46.75,Medium,8.56,5226.452,0.8905852417302799,7004,29
161,22,Bowler,206,264,18.65,115.54,0,0,232,4.61,15,85,75.544,46.68,Medium,10.69,2154.821,50.32537960954446,4532,0
162,28,Bowler,98,1062,27.9,112.3,2,0,262,7.83,22,74,73.339,42.5,Medium,12.13,3133.1699999999996,33.4610472541507,2744,2
163,27,Batter,138,4381,52.75,160.65,20,20,23,9.61,53,88,78.6045,52.48,Medium,9.97,8474.2875,2.393340270551509,3726,60
164,19,Batter,30,3372,63.46,173.97,26,7,24,8.29,13,95,82.2675,59.42,Medium,10.37,11040.1362,2.8950542822677927,570,40
165,35,All-Rounder,174,2737,37.07,148.28,26,6,126,5.81,98,61,82.34700000000001,59.57,Medium,12.0,5496.7396,21.68674698795181,6090,38
166,23,Wicketkeeper,116,5966,38.93,123.81,14,10,5,8.94,94,92,77.1025,49.63,Medium,8.21,4819.9233,0.5592841163310962,2668,34
167,22,All-Rounder,141,3800,27.65,114.5,8,4,165,4.99,22,81,78.74000000000001,52.73,Medium,11.42,3165.9249999999997,33.06613226452906,3102,16
168,27,Wicketkeeper,231,5425,32.45,160.57,15,10,9,8.88,74,94,78.5305,52.34,Medium,9.03,5210.4965,1.0135135135135134,6237,35
169,23,Wicketkeeper,141,5824,39.96,121.6,6,2,6,8.02,80,86,75.816,47.19,Medium,7.66,4859.1359999999995,0.7481296758104738,3243,10
170,29,Batter,22,5304,49.85,181.76,40,10,17,6.03,23,83,85.17699999999999,64.94,High,10.25,9060.735999999999,2.8192371475953566,638,60
171,22,All-Rounder,196,2998,44.1,121.96,17,0,195,6.25,56,97,90.47,74.97,High,14.66,5378.436,31.2,4312,17
172,27,Batter,108,7130,48.51,158.49,49,20,3,6.51,22,82,82.5065,59.87,Medium,9.26,7688.3499,0.4608294930875576,2916,89
173,29,All-Rounder,152,2997,43.87,111.94,21,6,178,4.16,14,74,81.76599999999999,58.47,Medium,12.73,4910.8078,42.78846153846154,4408,33
174,28,Wicketkeeper,142,5743,29.47,162.52,13,10,9,7.27,100,89,83.13499999999999,61.06,High,9.15,4789.4644,1.237964236588721,3976,33
175,27,All-Rounder,139,4892,37.74,129.39,23,4,171,7.26,57,80,85.3745,65.31,High,13.28,4883.1786,23.553719008264462,3753,31
176,21,Wicketkeeper,159,4520,48.9,150.77,6,15,4,9.87,150,98,86.4055,67.26,High,11.01,7372.653,0.4052684903748734,3339,36
177,25,Batter,159,6935,40.12,164.03,49,13,4,9.29,41,71,74.1005,43.94,Medium,7.37,6580.883599999999,0.4305705059203445,3975,75
178,21,Bowler,14,903,16.27,77.57,5,0,205,6.01,44,95,70.85249999999999,37.79,Low,10.18,1262.0638999999999,34.10981697171381,294,5
179,19,Bowler,142,424,21.22,119.91,3,1,180,7.83,34,97,71.59049999999999,39.18,Low,9.23,2544.4901999999997,22.988505747126435,2698,5
180,28,All-Rounder,183,4662,46.69,140.84,30,4,206,5.94,41,78,92.657,79.11,High,17.31,6575.8196,34.68013468013468,5124,38
181,35,All-Rounder,67,2719,44.28,142.29,27,7,131,5.92,81,89,89.0555,72.29,High,13.82,6300.6012,22.12837837837838,2345,41
182,26,All-Rounder,41,3848,41.92,122.78,17,5,247,7.22,47,71,86.45899999999999,67.37,High,14.69,5146.9376,34.21052631578947,1066,27
183,27,Batter,98,6623,54.68,172.31,23,7,26,8.15,44,74,84.1765,63.04,High,10.28,9421.9108,3.1901840490797544,2646,37
184,21,Bowler,72,103,23.4,96.55,5,0,113,4.4,26,95,68.29849999999999,32.94,Low,7.62,2259.27,25.68181818181818,1512,5
185,21,Bowler,11,1127,29.56,77.9,5,1,222,6.6,23,90,72.167,40.28,Medium,10.64,2302.724,33.63636363636364,231,7
186,27,Batter,242,3732,54.57,136.26,12,6,13,9.53,32,71,67.20400000000001,30.87,Low,7.05,7435.708199999999,1.3641133263378804,6534,24
187,30,Wicketkeeper,57,4371,51.3,100.65,11,10,4,7.82,132,87,78.8595,52.96,Medium,9.24,5163.345,0.5115089514066496,1710,31
